Tm,Season,W,L,T,win_percent,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Playoffs
NYG,2021,4,13,0,0.235,258,416,-158,-9.3,1,-8.3,-7.7,-0.6,0
GB,2021,13,4,0,0.765,450,371,79,4.6,-0.2,4.4,3.5,1,1
MIN,2021,8,9,0,0.471,425,426,-1,-0.1,0.3,0.3,1.9,-1.6,0
CHI,2021,6,11,0,0.353,311,407,-96,-5.6,0.5,-5.2,-4.9,-0.3,0
DET,2021,3,13,1,0.206,325,467,-142,-8.4,0.6,-7.8,-3.5,-4.3,0
TB,2021,13,4,0,0.765,511,353,158,9.3,-0.7,8.6,7.3,1.3,1
NO,2021,9,8,0,0.529,364,335,29,1.7,0.3,2,-1.5,3.6,0
ATL,2021,7,10,0,0.412,313,459,-146,-8.6,0.1,-8.5,-4.2,-4.3,0
CAR,2021,5,12,0,0.294,304,404,-100,-5.9,0.4,-5.5,-5,-0.5,0
LAR,2021,12,5,0,0.706,460,372,88,5.2,0.1,5.3,4.2,1.1,1
ARI,2021,11,6,0,0.647,449,366,83,4.9,0.3,5.2,3.6,1.6,1
SF,2021,10,7,0,0.588,427,365,62,3.6,0.1,3.8,1.8,1.9,1
SEA,2021,7,10,0,0.412,395,366,29,1.7,0.2,1.9,0.4,1.5,0
BUF,2020,13,3,0,0.813,501,375,126,7.9,-0.2,7.7,7.1,0.6,1
MIA,2020,10,6,0,0.625,404,338,66,4.1,-1.2,3,0.3,2.7,0
NE,2020,7,9,0,0.438,326,353,-27,-1.7,0.7,-1,-4.2,3.2,0
NYJ,2020,2,14,0,0.125,243,457,-214,-13.4,1.9,-11.5,-8.7,-2.8,0
PIT,2020,12,4,0,0.75,416,312,104,6.5,-1.8,4.7,0.3,4.4,1
BAL,2020,11,5,0,0.688,468,303,165,10.3,-2,8.3,3.9,4.3,1
CLE,2020,11,5,0,0.688,408,419,-11,-0.7,-1.9,-2.6,0.3,-2.8,1
CIN,2020,4,11,1,0.281,311,424,-113,-7.1,-0.4,-7.5,-5.4,-2.1,0
TEN,2020,11,5,0,0.688,491,439,52,3.3,-1.7,1.6,4.7,-3.1,1
IND,2020,11,5,0,0.688,451,362,89,5.6,-2.8,2.8,1.2,1.6,1
HOU,2020,4,12,0,0.25,384,464,-80,-5,-0.5,-5.5,-1.4,-4.1,0
JAX,2020,1,15,0,0.063,306,492,-186,-11.6,-0.1,-11.7,-6.5,-5.3,0
KC,2020,14,2,0,0.875,473,362,111,6.9,-0.1,6.8,4.5,2.3,1
LV,2020,8,8,0,0.5,434,478,-44,-2.8,0.8,-2,2.9,-4.9,0
LAC,2020,7,9,0,0.438,384,426,-42,-2.6,-0.3,-2.9,-1,-2,0
DEN,2020,5,11,0,0.313,323,446,-123,-7.7,1.7,-6,-4.3,-1.7,0
WAS,2020,7,9,0,0.438,335,329,6,0.4,-1.2,-0.8,-4.1,3.2,1
